year,day,date,mean.max.temp,30.yr.se,30.yr.sd
1993,182,7/1/23,40.6,,
1993,183,7/2/23,39.4,,
1993,184,7/3/23,39.4,,
1993,185,7/4/23,38.9,,
1993,186,7/5/23,38.3,,
1993,187,7/6/23,40,,
1993,188,7/7/23,42.8,,
1993,189,7/8/23,42.2,,
1993,190,7/9/23,40,,
1993,191,7/10/23,39.4,,
1993,192,7/11/23,39.4,,
1993,193,7/12/23,37.8,,
1993,194,7/13/23,39.4,,
1993,195,7/14/23,39.4,,
1993,196,7/15/23,40,,
1993,197,7/16/23,38.9,,
1993,198,7/17/23,38.3,,
1993,199,7/18/23,39.4,,
1993,200,7/19/23,39.4,,
1993,201,7/20/23,38.9,,
1993,202,7/21/23,38.3,,
1993,203,7/22/23,38.9,,
1993,204,7/23/23,39.4,,
1993,205,7/24/23,38.9,,
1993,206,7/25/23,40,,
1993,207,7/26/23,40.6,,
1993,208,7/27/23,40.6,,
1993,209,7/28/23,42.2,,
1993,210,7/29/23,40.6,,
1993,211,7/30/23,42.2,,
1993,212,7/31/23,44.4,,
1993,213,8/1/23,45.6,,
1993,214,8/2/23,42.8,,
1993,215,8/3/23,41.7,,
1993,216,8/4/23,38.9,,
1993,217,8/5/23,42.2,,
1993,218,8/6/23,42.2,,
1993,219,8/7/23,38.9,,
1993,220,8/8/23,37.8,,
1993,221,8/9/23,41.1,,
1993,222,8/10/23,41.7,,
1993,223,8/11/23,42.8,,
1993,224,8/12/23,42.2,,
1993,225,8/13/23,39.4,,
1993,226,8/14/23,40.6,,
1993,227,8/15/23,40.6,,
1993,228,8/16/23,41.1,,
1993,229,8/17/23,41.1,,
1993,230,8/18/23,41.7,,
1993,231,8/19/23,40.6,,
1993,232,8/20/23,38.9,,
1993,233,8/21/23,40,,
1993,234,8/22/23,39.4,,
1993,235,8/23/23,41.7,,
1993,236,8/24/23,38.3,,
1993,237,8/25/23,28.9,,
1993,238,8/26/23,30.6,,
1993,239,8/27/23,26.7,,
1993,240,8/28/23,35.6,,
1993,241,8/29/23,33.3,,
1993,242,8/30/23,34.4,,
1993,243,8/31/23,35,,
1993,244,9/1/23,37.2,,
1993,245,9/2/23,39.4,,
1993,246,9/3/23,40.6,,
1993,247,9/4/23,39.4,,
1993,248,9/5/23,39.4,,
1993,249,9/6/23,39.4,,
1993,250,9/7/23,40.6,,
1993,251,9/8/23,41.1,,
1993,252,9/9/23,41.7,,
1993,253,9/10/23,41.1,,
1993,254,9/11/23,38.9,,
1993,255,9/12/23,35,,
1993,256,9/13/23,34.4,,
1993,257,9/14/23,33.3,,
1993,258,9/15/23,36.1,,
1993,259,9/16/23,36.7,,
1993,260,9/17/23,33.3,,
1993,261,9/18/23,31.1,,
1993,262,9/19/23,33.9,,
1993,263,9/20/23,37.2,,
1993,264,9/21/23,38.9,,
1993,265,9/22/23,39.4,,
1993,266,9/23/23,36.1,,
1993,267,9/24/23,35,,
1993,268,9/25/23,35.6,,
1993,269,9/26/23,38.3,,
1993,270,9/27/23,37.8,,
1993,271,9/28/23,38.9,,
1993,272,9/29/23,39.4,,
1993,273,9/30/23,37.2,,
1994,182,7/1/23,42.8,,
1994,183,7/2/23,43.3,,
1994,184,7/3/23,42.2,,
1994,185,7/4/23,41.1,,
1994,186,7/5/23,40,,
1994,187,7/6/23,40,,
1994,188,7/7/23,42.2,,
1994,189,7/8/23,43.9,,
1994,190,7/9/23,42.2,,
1994,191,7/10/23,41.7,,
1994,192,7/11/23,42.2,,
1994,193,7/12/23,41.7,,
1994,194,7/13/23,42.2,,
1994,195,7/14/23,42.8,,
1994,196,7/15/23,41.1,,
1994,197,7/16/23,39.4,,
1994,198,7/17/23,35,,
1994,199,7/18/23,31.7,,
1994,200,7/19/23,33.9,,
1994,201,7/20/23,38.3,,
1994,202,7/21/23,41.1,,
1994,203,7/22/23,41.7,,
1994,204,7/23/23,41.7,,
1994,205,7/24/23,42.2,,
1994,206,7/25/23,41.7,,
1994,207,7/26/23,39.4,,
1994,208,7/27/23,40.6,,
1994,209,7/28/23,42.2,,
1994,210,7/29/23,39.4,,
1994,211,7/30/23,39.4,,
1994,212,7/31/23,40,,
1994,213,8/1/23,41.7,,
1994,214,8/2/23,43.3,,
1994,215,8/3/23,44.4,,
1994,216,8/4/23,42.2,,
1994,217,8/5/23,44.4,,
1994,218,8/6/23,42.2,,
1994,219,8/7/23,41.7,,
1994,220,8/8/23,36.7,,
1994,221,8/9/23,37.2,,
1994,222,8/10/23,41.7,,
1994,223,8/11/23,43.3,,
1994,224,8/12/23,39.4,,
1994,225,8/13/23,41.1,,
1994,226,8/14/23,38.3,,
1994,227,8/15/23,41.1,,
1994,228,8/16/23,40.6,,
1994,229,8/17/23,37.8,,
1994,230,8/18/23,40,,
1994,231,8/19/23,41.1,,
1994,232,8/20/23,40.6,,
1994,233,8/21/23,40.6,,
1994,234,8/22/23,38.3,,
1994,235,8/23/23,40.6,,
1994,236,8/24/23,41.7,,
1994,237,8/25/23,40,,
1994,238,8/26/23,38.9,,
1994,239,8/27/23,38.9,,
1994,240,8/28/23,40.6,,
1994,241,8/29/23,40.6,,
1994,242,8/30/23,40,,
1994,243,8/31/23,38.9,,
1994,244,9/1/23,38.9,,
1994,245,9/2/23,37.8,,
1994,246,9/3/23,32.2,,
1994,247,9/4/23,36.1,,
1994,248,9/5/23,37.2,,
1994,249,9/6/23,40,,
