year,May,June,July,August,September,total.days,High temp F
1994,,,,,,,
1995,,,,,,,
1996,,,,,,,
1997,0,0,0,1,0,1,113
1998,0,0,4,4,0,8,118
1999,0,0,0,0,0,0,
2000,0,0,4,1,0,5,115
2001,0,0,1,1,0,2,114
2002,0,0,0,1,0,1,113
2003,0,1,3,1,0,5,115
2004,0,0,0,0,0,0,
2005,0,0,2,1,0,3,117
2006,0,0,4,0,0,4,118
2007,0,0,2,0,1,3,115
2008,1,7,0,0,0,8,
2009,0,0,4,2,0,6,116
2010,0,0,1,1,2,4,117
2011,0,1,0,4,1,6,114
2012,0,2,0,4,0,6,116
2013,0,1,1,0,0,2,117
2014,0,0,3,1,0,4,117
2015,0,3,0,4,0,7,116
2016,0,4,2,2,0,8,119
2017,0,6,3,2,0,11,119
2018,0,0,5,0,0,5,117
2019,0,1,3,5,0,9,
2020,0,0,5,7,3,15,115
2021,0,5,0,4,0,9,
2022,0,0,1,0,1,2,113
2023,0,0,7,5,0,12,
