date,pot,population,genotype,rep,leaf,treatment,fv.fm
8/8/23,61,CCR,5,2,1,predrought,0.84
8/8/23,85,CCR,5,3,1,predrought,0.81
8/8/23,63,CCR,5,5,1,predrought,0.82
8/8/23,48,CCR,149,5,1,predrought,0.78
8/8/23,47,CCR,149,4,1,predrought,0.81
8/8/23,46,CCR,149,3,1,predrought,0.8
8/8/23,51,CCR,152,15,1,predrought,0.84
8/8/23,50,CCR,152,14,1,predrought,0.81
8/8/23,49,CCR,152,13,1,predrought,0.83
8/8/23,58,CCR,155,1,1,predrought,0.81
8/8/23,60,CCR,155,3,1,predrought,0.82
8/8/23,59,CCR,155,2,1,predrought,0.84
8/8/23,44,CCR,156,3,1,predrought,0.78
8/8/23,45,CCR,156,1,1,predrought,0.8
8/8/23,43,CCR,156,4,1,predrought,0.82
8/8/23,76,JLA,153,4,1,predrought,0.81
8/8/23,69,JLA,153,4,1,predrought,0.82
8/8/23,90,JLA,153,6,1,predrought,0.74
8/8/23,66,JLA,155,12,1,predrought,0.81
8/8/23,62,JLA,155,1,1,predrought,0.8
8/8/23,64,JLA,155,4,1,predrought,0.8
8/8/23,75,JLA,156,15,1,predrought,0.79
8/8/23,74,JLA,156,14,1,predrought,0.81
8/8/23,71,JLA,156,6,1,predrought,0.82
8/8/23,68,JLA,157,8,1,predrought,0.81
8/8/23,67,JLA,157,8,1,predrought,0.79
8/8/23,72,JLA,157,8,1,predrought,0.81
8/8/23,70,JLA,158,20,1,predrought,0.62
8/8/23,81,JLA,158,19,1,predrought,0.8
8/8/23,73,JLA,158,3,1,predrought,0.8
8/8/23,1,NRV,101,4,1,predrought,0.76
8/8/23,3,NRV,101,4,1,predrought,0.8
8/8/23,2,NRV,101,11,1,predrought,0.82
8/8/23,9,NRV,105,15,1,predrought,0.81
8/8/23,8,NRV,105,10,1,predrought,0.82
8/8/23,7,NRV,105,9,1,predrought,0.82
8/8/23,10,NRV,118,2,1,predrought,0.81
8/8/23,11,NRV,118,3,1,predrought,0.81
8/8/23,12,NRV,118,5,1,predrought,0.83
8/8/23,17,NRV,122,3,1,predrought,0.81
8/8/23,16,NRV,122,1,1,predrought,0.82
8/8/23,18,NRV,122,5,1,predrought,0.83
8/8/23,22,NRV,123,8,1,predrought,0.78
8/8/23,19,NRV,123,3,1,predrought,0.82
8/8/23,20,NRV,123,7,1,predrought,0.8
8/8/23,31,TSZ,3,5,1,predrought,0.81
8/8/23,30,TSZ,3,3,1,predrought,0.81
8/8/23,29,TSZ,3,2,1,predrought,0.81
8/8/23,33,TSZ,4,2,1,predrought,0.79
8/8/23,34,TSZ,4,4,1,predrought,0.83
8/8/23,32,TSZ,4,1,1,predrought,0.81
8/8/23,37,TSZ,7,4,1,predrought,0.82
8/8/23,36,TSZ,7,3,1,predrought,0.82
8/8/23,83,TSZ,7,2,1,predrought,0.84
8/8/23,39,TSZ,8,5,1,predrought,0.81
8/8/23,40,TSZ,8,3,1,predrought,0.83
8/8/23,38,TSZ,8,4,1,predrought,0.84
8/8/23,41,TSZ,10,3,1,predrought,0.82
8/8/23,42,TSZ,10,4,1,predrought,0.82
8/8/23,21,TSZ,10,1,1,predrought,0.82
8/8/23,61,CCR,5,2,2,predrought,0.84
8/8/23,85,CCR,5,3,2,predrought,0.83
8/8/23,63,CCR,5,5,2,predrought,0.81
8/8/23,48,CCR,149,5,2,predrought,0.79
8/8/23,47,CCR,149,4,2,predrought,0.82
8/8/23,46,CCR,149,3,2,predrought,0.82
8/8/23,51,CCR,152,15,2,predrought,0.83
8/8/23,50,CCR,152,14,2,predrought,0.84
8/8/23,49,CCR,152,13,2,predrought,0.83
8/8/23,58,CCR,155,1,2,predrought,0.81
8/8/23,60,CCR,155,3,2,predrought,0.82
8/8/23,59,CCR,155,2,2,predrought,0.83
8/8/23,44,CCR,156,3,2,predrought,0.77
8/8/23,45,CCR,156,1,2,predrought,0.79
8/8/23,43,CCR,156,4,2,predrought,0.77
8/8/23,76,JLA,153,4,2,predrought,0.81
8/8/23,69,JLA,153,4,2,predrought,0.82
8/8/23,90,JLA,153,6,2,predrought,0.82
