date,time,well,sample,pot,leaf,population,pop.geno,elevation,rep,meas.week,treatment,treatment.levels,tmax,t50,tcrit,tcrit_se,max.tleaf,tsm
7/17/23,11:00,D1,49.1,49,1,CCR-COL,CCR152,72,13,1,predrought,predrought,51.3,49.28,47.92,0.07,44.62,3.3
7/17/23,11:00,D2,49.2,49,2,CCR-COL,CCR152,72,13,1,predrought,predrought,52.54,50.3,49.44,0.07,44.62,4.82
7/17/23,11:00,D3,49.3,49,3,CCR-COL,CCR152,72,13,1,predrought,predrought,51.54,49.53,48.44,0.09,44.62,3.82
7/17/23,11:00,D4,59.1,59,1,CCR-COL,CCR155,72,2,1,predrought,predrought,54.86,51.54,49.62,0.06,44.62,5
7/17/23,11:00,D5,59.2,59,2,CCR-COL,CCR155,72,2,1,predrought,predrought,56.11,52.05,50.23,0.06,44.62,5.61
7/17/23,11:00,D6,59.3,59,3,CCR-COL,CCR155,72,2,1,predrought,predrought,54.35,51.06,49.48,0.05,44.62,4.86
7/17/23,11:00,E4,63.1,63,1,CCR-COL,CCR5,72,5,1,predrought,predrought,52.54,50.81,49.85,0.05,44.62,5.23
7/17/23,11:00,E5,63.2,63,2,CCR-COL,CCR5,72,5,1,predrought,predrought,53.58,51.3,50.43,0.05,44.62,5.81
7/17/23,11:00,E6,63.3,63,3,CCR-COL,CCR5,72,5,1,predrought,predrought,53.33,51.06,50.44,0.04,44.62,5.82
7/17/23,14:00,F4,43.1,43,1,CCR-COL,CCR156,72,4,1,predrought,predrought,52.34,50.57,49.17,0.06,44.62,4.55
7/17/23,14:00,F5,43.2,43,2,CCR-COL,CCR156,72,4,1,predrought,predrought,53.11,50.82,49.46,0.07,44.62,4.84
7/17/23,14:00,F6,43.3,43,3,CCR-COL,CCR156,72,4,1,predrought,predrought,52.09,49.56,48.12,0.04,44.62,3.5
7/17/23,14:00,G1,46.1,46,1,CCR-COL,CCR149,72,3,1,predrought,predrought,52.59,50.31,48.88,0.08,44.62,4.26
7/17/23,14:00,G2,46.2,46,2,CCR-COL,CCR149,72,3,1,predrought,predrought,52.34,50.05,48.19,0.09,44.62,3.57
7/17/23,14:00,G3,46.3,46,3,CCR-COL,CCR149,72,3,1,predrought,predrought,52.85,50.31,48.91,0.06,44.62,4.29
7/18/23,8:00,D4,45.1,45,1,CCR-COL,CCR156,72,1,1,predrought,predrought,52.07,50.04,48.82,0.06,44.62,4.2
7/18/23,8:00,D5,45.2,45,2,CCR-COL,CCR156,72,1,1,predrought,predrought,52.07,50.04,48.62,0.06,44.62,4
7/18/23,8:00,D6,45.3,45,3,CCR-COL,CCR156,72,1,1,predrought,predrought,52.07,49.03,45.61,0.21,44.62,0.99
7/18/23,8:00,E1,47.1,47,1,CCR-COL,CCR149,72,4,1,predrought,predrought,52.57,49.53,48.2,0.05,44.62,3.58
7/18/23,8:00,E2,47.2,47,2,CCR-COL,CCR149,72,4,1,predrought,predrought,52.07,49.28,48.19,0.05,44.62,3.57
7/18/23,8:00,E3,47.3,47,3,CCR-COL,CCR149,72,4,1,predrought,predrought,54.33,51.06,49.12,0.07,44.62,4.5
7/18/23,8:00,F1,58.1,58,1,CCR-COL,CCR155,72,1,1,predrought,predrought,52.07,50.04,48.39,0.06,44.62,3.77
7/18/23,8:00,F2,58.2,58,2,CCR-COL,CCR155,72,1,1,predrought,predrought,50.81,47.49,46.83,0.06,44.62,2.21
7/18/23,8:00,F3,58.3,58,3,CCR-COL,CCR155,72,1,1,predrought,predrought,53.33,51.06,49.16,0.05,44.62,4.54
7/18/23,8:00,G1,60.1,60,1,CCR-COL,CCR155,72,3,1,predrought,predrought,54.86,51.55,50.15,0.06,44.62,5.53
7/18/23,8:00,G2,60.2,60,2,CCR-COL,CCR155,72,3,1,predrought,predrought,53.08,50.81,48.89,0.06,44.62,4.27
7/18/23,8:00,G3,60.3,60,3,CCR-COL,CCR155,72,3,1,predrought,predrought,53.82,50.81,49,0.05,44.62,4.38
7/18/23,8:00,H4,85.1,85,1,CCR-COL,CCR5,72,3,1,predrought,predrought,54.08,49.28,43.73,0.3,44.62,-0.89
